id,player,club,position,age,value,nationality,avatar_url
92,M. Kristensen,Esbjerg,Right Wing,22,700000,Denmark,images/profile_img/empty.jpg
93,D. Kaiser,Hannover 96,Left-Back,31,700000,Germany,images/profile_img/empty.jpg
94,S. Nilsen,Elfsborg,Left Centre-Back,28,700000,Norway,images/profile_img/empty.jpg
95,A. Jovanović,Deportivo La Coruña,Goalkeeper,27,700000,"Serbia, Montenegro",images/profile_img/empty.jpg
96,S. Gartenmann,SønderjyskE,Left-Back,23,700000,Denmark,images/profile_img/empty.jpg
97,A. Jung,Brøndby,Left-Back,28,700000,"Spain, Germany",images/profile_img/empty.jpg
98,J. Laursen,OB,,25,700000,Denmark,images/profile_img/empty.jpg
99,J. Tverskov,OB,Centre-Back,26,700000,Denmark,images/profile_img/empty.jpg
100,T. van Weert,AaB,Striker,29,700000,Netherlands,images/profile_img/empty.jpg
101,R. Thelander,AaB,Left Centre-Back,28,700000,Denmark,images/profile_img/empty.jpg
102,P. Olsen,AaB,Left-Back,25,700000,Denmark,images/profile_img/empty.jpg
103,M. Madsen,Silkeborg,Left-Back,22,700000,Denmark,images/profile_img/empty.jpg
104,L. Vibe,Midtjylland,Striker,33,700000,Denmark,images/profile_img/empty.jpg
105,R. Nicolaisen,Midtjylland,Left Centre-Back,22,700000,Denmark,images/profile_img/empty.jpg
106,T. Sana,IFK Göteborg,Left-Back,30,600000,"Sweden, Burkina Faso",images/profile_img/empty.jpg
107,A. Rømer,Randers,Left-Back,26,600000,Denmark,images/profile_img/empty.jpg
108,V. Hammershøj-Mistrati,Randers,Left-Back,27,600000,Denmark,images/profile_img/empty.jpg
109,E. Riis Jakobsen,Randers,Striker,21,600000,Denmark,images/profile_img/empty.jpg
110,N. Larsen,Nordsjælland,Goalkeeper,28,600000,Denmark,images/profile_img/empty.jpg
111,P. Soiri,Esbjerg,Left Wing,25,600000,"Finland, Namibia",images/profile_img/empty.jpg
112,J. Højbjerg,Esbjerg,Goalkeeper,24,600000,Denmark,images/profile_img/empty.jpg
113,J. Lauridsen,Randers,Left-Back,28,600000,Denmark,images/profile_img/empty.jpg
114,P. Mortensen,AGF,Striker,30,600000,Denmark,images/profile_img/empty.jpg
115,J. Ankersen,AGF,Left Wing,29,600000,Denmark,images/profile_img/empty.jpg
116,B. Blume,AGF,Attacking-Midfielder,28,600000,Denmark,images/profile_img/empty.jpg
117,Z. Duncan,AGF,Left-Back,19,600000,Australia,images/profile_img/empty.jpg
118,K. Junker,Bodø / Glimt,Right Wing,25,600000,Denmark,images/profile_img/empty.jpg
119,O. Abildgaard,Rubin Kazan',Left-Back,23,600000,Denmark,images/profile_img/empty.jpg
120,J. Kauko,Esbjerg,Left-Back,29,600000,Finland,images/profile_img/empty.jpg
121,M. Lieder,OB,Striker,29,600000,Netherlands,images/profile_img/empty.jpg
122,L. Prip,Horsens,Right Wing,22,600000,Denmark,images/profile_img/empty.jpg
123,C. Jakobsen,SønderjyskE,Left-Back,26,600000,Denmark,images/profile_img/empty.jpg
124,E. Babayan,Hobro,Left Wing,24,600000,"Denmark, Armenia",images/profile_img/empty.jpg
125,A. Bah,SønderjyskE,Right-Back,22,600000,Denmark,images/profile_img/empty.jpg
126,I. Jebali,OB,Striker,28,600000,Tunisia,images/profile_img/empty.jpg
127,M. Uhre,Brøndby,Striker,25,600000,Denmark,images/profile_img/empty.jpg
128,M. Lund,OB,Left Centre-Back,23,600000,Denmark,images/profile_img/empty.jpg
129,F. Winther,Lyngby,Left Centre-Back,19,600000,Denmark,images/profile_img/empty.jpg
130,R. Schwartz,Midtjylland,Striker,30,600000,Denmark,images/profile_img/empty.jpg
131,A. Dreyer,Midtjylland,Attacking-Midfielder,21,600000,Denmark,images/profile_img/empty.jpg
132,E. Marxen,Randers,Left Centre-Back,29,500000,Denmark,images/profile_img/empty.jpg
133,M. Kallesøe,Randers,Right Wing,22,500000,Denmark,images/profile_img/empty.jpg
134,C. Antwi,Nordsjælland,Left-Back,20,500000,Ghana,images/profile_img/empty.jpg
135,A. Ludwig,Horsens,Left Centre-Back,26,500000,Denmark,images/profile_img/empty.jpg
136,J. Thomasen,OB,Left-Back,23,500000,Denmark,images/profile_img/empty.jpg
137,R. Leeuwin,AZ,Centre-Back,32,500000,"Netherlands, Suriname",images/profile_img/empty.jpg
138,F. Brorsson,Esbjerg,Defensive-Midfielder,24,500000,Sweden,images/profile_img/empty.jpg
139,H. Hansson,Horsens,Left-Back,27,500000,Faroe Islands,images/profile_img/empty.jpg
140,B. Jacobsen,Horsens,Left-Back,26,500000,Denmark,images/profile_img/empty.jpg
141,T. Børkeeiet,Brøndby,Defensive-Midfielder,20,500000,Norway,images/profile_img/empty.jpg
142,R. Hassan,SønderjyskE,Right Wing,29,500000,Nigeria,images/profile_img/empty.jpg
143,P. Banggaard,SønderjyskE,Centre-Back,25,500000,Denmark,images/profile_img/empty.jpg
144,P. Kirkevold,Hobro,Striker,29,500000,Norway,images/profile_img/empty.jpg
145,N. Strunck Jakobsen,Groningen,Left-Back,20,500000,Denmark,images/profile_img/empty.jpg
146,J. Drachmann,OB,Defensive-Midfielder,31,500000,Denmark,images/profile_img/empty.jpg
147,T. Kløve,OB,Left-Back,29,500000,Denmark,images/profile_img/empty.jpg
148,R. Laursen,OB,,27,500000,"USA, Denmark",images/profile_img/empty.jpg
149,J. Ahlmann,AaB,Left-Back,29,500000,Denmark,images/profile_img/empty.jpg
150,J. Okkels,Silkeborg,Left Wing,20,500000,Denmark,images/profile_img/empty.jpg
151,Júnior Brumado,Silkeborg,Striker,20,500000,Brazil,images/profile_img/empty.jpg
152,J. Hansen,Midtjylland,Goalkeeper,34,500000,Denmark,images/profile_img/empty.jpg
153,M. Rømer,Lyngby,Left-Back,28,500000,Denmark,images/profile_img/empty.jpg
154,R. Corlu,Lyngby,Attacking-Midfielder,22,500000,"Denmark, Turkey",images/profile_img/empty.jpg
155,J. Cajuste,Midtjylland,Right-Back,20,500000,"Sweden, USA",images/profile_img/empty.jpg
156,M. Rojas,Melbourne Victory,Left-Back,28,500000,"New Zealand, Chile",images/profile_img/empty.jpg
157,A. Okosun,Midtjylland,Left-Back,26,450000,Germany,images/profile_img/empty.jpg
158,A. Ahmedhodzic,Hobro,Centre-Back,20,450000,"Bosnia and Herzegovina, Sweden",images/profile_img/empty.jpg
159,G. Marcussen,Lyngby,Striker,21,450000,Denmark,images/profile_img/empty.jpg
160,K. Pedersen,AaB,Left Centre-Back,26,400000,Denmark,images/profile_img/empty.jpg
161,B. Kopplin,Randers,Right-Back,30,400000,Germany,images/profile_img/empty.jpg
162,M. Nielsen,Randers,Left Centre-Back,28,400000,Denmark,images/profile_img/empty.jpg
163,A. Kamara,Randers,Striker,25,400000,Sierra Leone,images/profile_img/empty.jpg
164,F. Lauenborg,Randers,Left-Back,22,400000,Denmark,images/profile_img/empty.jpg
165,M. Opondo,OB,Left-Back,22,400000,"Denmark, Uganda",images/profile_img/empty.jpg
166,N. Bendtner,København,Striker,31,400000,Denmark,images/profile_img/empty.jpg
167,A. Ammitzbøll,AGF,Striker,20,400000,Denmark,images/profile_img/empty.jpg
168,W. Ali,Vendsyssel,Left Wing,21,400000,"Denmark, Palestine",images/profile_img/empty.jpg
169,N. Backman,AGF,Centre-Back,31,400000,Sweden,images/profile_img/empty.jpg
170,N. Helenius,AGF,Striker,28,400000,Denmark,images/profile_img/empty.jpg
171,J. Kristoffersen,Hobro,Striker,22,400000,Norway,images/profile_img/empty.jpg
172,J. Brinch,Esbjerg,Centre-Back,24,400000,Denmark,images/profile_img/empty.jpg
173,J. Poulsen,Melbourne Victory,Defensive-Midfielder,36,400000,Denmark,images/profile_img/empty.jpg
174,R. Thellufsen,Hansa Rostock,Left Wing,23,400000,Denmark,images/profile_img/empty.jpg
175,J. Thorsen,Horsens,Left Wing,29,400000,Denmark,images/profile_img/empty.jpg
176,N. Brock-Madsen,Horsens,Striker,27,400000,Denmark,images/profile_img/empty.jpg
177,R. Frantsen,Horsens,Striker,28,400000,Denmark,images/profile_img/empty.jpg
178,M. Kiilerich,Horsens,Centre-Back,24,400000,Denmark,images/profile_img/empty.jpg
179,P. Therkildsen,Horsens,Left-Back,21,400000,Denmark,images/profile_img/empty.jpg
180,M. Greve,Randers,Left-Back,24,400000,Denmark,images/profile_img/empty.jpg
181,P. Buch Christiansen,SønderjyskE,Striker,20,400000,Denmark,images/profile_img/empty.jpg
182,A. Jacobsen,SønderjyskE,Striker,30,400000,Denmark,images/profile_img/empty.jpg
183,S. Mielitz,SønderjyskE,Goalkeeper,30,400000,Germany,images/profile_img/empty.jpg
